,Name,Twitter
0,Aline Wanner,0.0026672922492896795
1,Isabella Eckerle,0.024928094029137586
2,Deniz Utlu,0.0023530180872117115
3,Melanie Brinkmann,0.046017063373668794
4,Anne Will,0.03846414495009503
5,Karl Lauterbach,0.24031562223974362
6,Klaas Heufer-Umlauf,0.8009979494398607
7,Christian Walther,0.0
8,Christian Drosten,0.3306707698428807
9,Christoph Keller,0.00012035118137177563
10,Maja Göpel,0.03454913096024755
11,Aaron Troschke,0.00409063576022782
12,Luisa Neubauer,0.11456695150782728
13,Jan Böhmermann,1.0
14,Annika Brockschmidt,0.020031673448126265
15,Sophie Passmann,0.0793470841707283
16,Frank Thelen,0.02647562063908353
17,Rezo,0.20385103324968226
18,Clemens Fuest,0.012042776710686744
19,Mai Thi Nguyen-Kim,0.14203286439325982
20,Joko Winterscheidt,0.9242240259136543
21,Peter Spork,0.0020038259878816934
