Name;GSR_score;Wikipedia_score;Sentiment_score;Twitter_score;Thoughtleader_Score;;Rank
Aviel Cahn;0.015420023014959724;0.02551984877126654;0.14717157287525381;0.0;0.04702786116537002;;76
Barbara Frey;0.09397775220560031;0.09120982986767485;0.0;0.0;0.046296895518318795;;77
Marko Kovic;0.008553893364019946;0.0;0.15926739846410892;0.016591085028576334;0.046103094214176306;;78
Philip Ursprung;0.05485232067510549;0.10916824196597354;0.0;0.0;0.04100514066026976;;79
Ursula Rodel;0.002493287303413886;0.0014177693761814746;0.15;0.0;0.038477764169898836;;80
Lorenz Häberli;0.10510164940544688;0.04253308128544423;0.0;0.0055655819589196355;0.038300078162452685;;81
Lorenz Häberli;0.10510164940544688;0.04253308128544423;0.0;0.0055655819589196355;0.038300078162452685;;82
Luc Oggier (von Lu & Leduc);0.10510164940544688;0.04253308128544423;0.0;0.0055655819589196355;0.038300078162452685;;83
Luc Oggier (von Lu & Leduc);0.10510164940544688;0.04253308128544423;0.0;0.0055655819589196355;0.038300078162452685;;84
Oliver Bendel;0.026697353279631762;0.0222117202268431;0.1;0.0;0.037227268376618716;;85
Stress;0.011660912926735711;0.08270321361058601;0.0;0.008699671028623448;0.02576594939148629;;86
MaiThu Perret;0.06559263521288838;0.0;0.0;0.0;0.016398158803222096;;87
Eduard Käser;0.0364403528960491;0.026465028355387523;0.0;0.0;0.015726345312859154;;88
Benedikt von Peter;0.028883774453394708;0.03260869565217391;0.0;0.0;0.015373117526392154;;89
Annemarie Piper;0.014499424626006905;0.045368620037807186;0.0;0.0;0.014967011165953522;;90
Irena Brezna;0.02807825086306099;0.02599243856332703;0.0;0.0;0.013517672356597005;;91
Aleksanra Bachzetsis;0.03291139240506329;0.017485822306238186;0.0;0.0;0.01259930367782537;;92
Jacqueline Burkhardt;0.007556578442654392;0.039224952741020794;0.0;0.0;0.011695382795918797;;93
Claudia Honegger;0.005024932873034139;0.035916824196597356;0.0;0.0;0.010235439267407874;;94
Ursula Hauser;0.030149597238204835;0.0;0.0;0.0;0.007537399309551209;;95
Barbara Buser;0.015650172612197928;0.0;0.0;0.0;0.003912543153049482;;96
ChristophMathias Müller;0.011852704257767549;0.0;0.0;0.0037203354959213226;0.003893259938422218;;97
Lena Lisa Wüstendörfer;0.013310318373609513;0.0;0.0;0.0;0.0033275795934023782;;98
David Bosshardt;0.0;0.011342155009451797;0.0;0.0;0.002835538752362949;;99
Christoph RehmannSuter;0.01093210586881473;0.0;0.0;0.0;0.0027330264672036824;;100
Marisa Godoy;0.007786728039892597;0.0;0.0;0.0;0.0019466820099731492;;101
Mickry 3;0.007211354046797085;0.0;0.0;0.0;0.0018028385116992712;;102
