Name;GSR_score;Wikipedia_score;Sentiment_score;Twitter_score;Thoughtleader_Score;;Rank
Sibylle Berg;0.29689298043728424;1.0;0.15339404587728372;0.30591862921247254;0.4390514138817601;;1
Hazel Brugger;0.5320291522823168;0.5042533081285444;0.16865941020981096;0.28229678133653535;0.3718096629893019;;2
Milo Rau;0.4016110471806674;0.8927221172022685;0.17491413999784713;0.0;0.36731182609519575;;3
Mario Botta;1.0;0.1446124763705104;0.18473543609447576;0.0;0.3323369781162465;;4
Jörg Scheller;0.32105868814729577;0.4050094517958412;0.1599769575235423;0.3734428305377502;0.3148719820011074;;5
Regula Stämpfli;0.02366705024932873;0.03969754253308128;0.05;1.0;0.2783411481956025;;6
Tommy Vercetti;0.7545070962792482;0.024574669187145556;0.18410571767090145;0.003639352558078393;0.24170670892384338;;7
Sophie Hunger;0.5857307249712314;0.20935727788279773;0.125;0.03636829992208496;0.23911407569402848;;8
Lukas Bärfuss;0.1534330648254699;0.4844045368620038;0.15862331367880167;0.0;0.19911522884156885;;9
Martin Meyer;0.5703874184886844;0.039224952741020794;0.16648757234433872;0.0;0.19402498589351097;;10
Jean Ziegler;0.33563482930571537;0.2774102079395085;0.1575302645744331;0.0;0.19264382545491424;;11
Knackeboul;0.07096279248177982;0.20982986767485823;0.15976440042576198;0.29030920309279223;0.1827165659187981;;12
Güzin Kar;0.14077483697736862;0.12996219281663515;0.17532097138503402;0.23225680791660136;0.1695787022739098;;13
Rolf Dobelli;0.43996931338703493;0.04725897920604915;0.17224356246577938;0.0;0.16486796376471585;;14
Philipp Sarasin;0.07978519370924435;0.13705103969754254;0.1659562232905441;0.23626532336777714;0.15476444501627704;;15
Stephan Eicher;0.33563482930571537;0.1053875236294896;0.13182195028358587;0.0;0.14321107580469772;;16
Pedro Lenz;0.16148830072880707;0.22826086956521738;0.16954302369441598;0.0;0.1398230484971101;;17
Patricia Kopatchinskaja ;0.3705408515535098;0.1833648393194707;0.0;0.005041814980826678;0.1397368764634518;;18
Daniel Ryser;0.0024165707710011508;0.0330812854442344;0.10586543216932025;0.38683078395346715;0.13204851808450574;;19
Thomas Hürlimann;0.05907172995780591;0.2953686200378072;0.16945445838277667;0.0;0.13097370209459744;;20
Miriam Meckel;0.0682777138473341;0.07797731568998109;0.1829754023805125;0.17257641040792485;0.12545171058143811;;21
Andreas Vollenweider;0.286536248561565;0.1994328922495274;0.0;0.00317996042494919;0.1222872753090104;;22
Peter Bichsel;0.0970464135021097;0.222117202268431;0.16644926674379928;0.0;0.121403220628585;;23
Barbara Bleisch;0.0728807057920982;0.20321361058601134;0.16354658365879424;0.044410445226494705;0.12101283631584964;;24
Adolf Muschg;0.14921365554276947;0.16493383742911152;0.16728985609187003;0.0;0.12035933726593775;;25
Franco Ambrosetti;0.10433448408131953;0.19139886578449905;0.17673205080756887;0.0;0.11811635016834686;;26
Jonas Lüscher;0.05331799002685079;0.2277882797731569;0.17347901725674783;0.0;0.11364632176418887;;27
Petra Volpe;0.04948216340621404;0.21219281663516068;0.15616441400296896;0.009647720585900216;0.10687177865756098;;28
Chris von Rohr;0.14691215957038742;0.10491493383742911;0.17163232580845983;0.0;0.10586485480406908;;29
Peach Weber;0.14614499424626007;0.10680529300567108;0.1651019455734393;0.00473311333592994;0.10569633654032509;;30
Peter Stamm;0.2048331415420023;0.20841209829867674;0.0;0.0;0.10331130996016977;;31
Dieter Meier;0.12734944380514002;0.0945179584120983;0.1751628776691903;0.0046985044419181905;0.10043219608208671;;32
Patti Basler;0.06597621787495206;0.020321361058601134;0.14547722557505166;0.1661653685823114;0.09948504327272906;;33
Pipilotti Rist;0.2665899501342539;0.1224007561436673;0.0;0.0;0.0972476765694803;;34
Miriam Cahn;0.16033755274261605;0.05954631379962193;0.16372599488848896;0.0;0.09590246535768174;;35
Jürg Halter;0.05485232067510549;0.12429111531190926;0.16087776311929433;0.03591508721224963;0.09398407157963967;;36
Steff la Cheffe;0.06482546988876103;0.13043478260869565;0.17135678209757976;0.0;0.09165425864875912;;37
Jessica Jurassica;0.05715381664748753;0.0;0.16187295354420594;0.1387704277977846;0.08944929949736952;;38
Charles Lewinsky;0.10088224012274645;0.249054820415879;0.0;0.0;0.08748426513465636;;39
Patrick Rohr;0.05293440736478711;0.11294896030245746;0.15921415826525998;0.01685312277584698;0.08548766217708788;;40
Zora del Buono;0.05868814729574223;0.11389413988657845;0.16442076830695312;0.0;0.08425076387231845;;41
Big Zis aka Franziska Schläpfer;0.0379746835443038;0.29584120982986767;0.0;0.0;0.08345397334354286;;42
Boris Blank;0.13425393172228614;0.018431001890359167;0.1760386898685566;0.0;0.08218090587030048;;43
Peter Bieri;0.05408515535097814;0.2722117202268431;0.0;0.0;0.0815742188944553;;44
Dirk Helbing;0.09129267357115459;0.03733459357277883;0.12153589838486226;0.058333035818380195;0.07712405033679397;;45
Manuel Stahlberger;0.04142692750287687;0.10633270321361059;0.1592190046219458;0.0;0.07674465883460832;;46
Lara Stoll;0.1016494054468738;0.20321361058601134;0.0;0.0;0.07621575400822128;;47
Thomas Straumann;0.016724204065976217;0.08979206049149338;0.18049867679474746;0.014270109385980362;0.07532126268454936;;48
