Name;GSR_score;Wikipedia_score;Sentiment_score;Twitter_score;Thoughtleader_Score
Jan Böhmermann;0.32058945374918624;0.2249115357395612;0.16495054794189873;1.0;0.42761288435766154
Rezo;1.0;0.06383581033262561;0.15138265684799332;0.22434979827224275;0.35989206636321536
Joko Winterscheidt;0.07557554595490323;0.23255484784147204;0.16873753918861983;0.8637192173387156;0.3351467875809277
Christian Drosten;0.5531751198437592;0.2840764331210191;0.15421688721365392;0.31920521824871434;0.32766841460678664
Benedikt XVI.;0.3028348227496005;1.0;0.0;0.0;0.3257087056874001
Mirjam Fischer;0.002834822749600521;0.003397027600849257;0.2;0.9550762144723047;0.2903270162056886
Klaas Heufer-Umlauf;0.10279931348760135;0.1140835102618542;0.15637693143733303;0.757818378484514;0.2827695334178256
Karl Lauterbach;0.45789193347931584;0.17820240622788394;0.15404419449998738;0.24551049713538428;0.25891225783564287
Anne Will;0.5975616973427236;0.04472753007784855;0.12681580784320415;0.08079839046241297;0.21247585643154732
Malcolm Ohanwe;0.01225069538971415;0.5173389950460014;0.157211102550928;0.10603559494043525;0.1982090969817697
Mai Thi Nguyen-Kim;0.07735100905486181;0.32172682236376504;0.15897629276841688;0.14058689607370312;0.1746602550651867
Sibylle Berg;0.04580694797893117;0.29950460014154284;0.15339404587728372;0.14119002323180133;0.15997390430738978
Natascha Strobl;0.010948689116411198;0.04543524416135881;0.1141778110071261;0.46218298276568265;0.15818618176264468
Kai Diekmann;0.021364739302834824;0.052370842179759375;0.1708518115865107;0.3288832908188134;0.14336767097197956
Annika Brockschmidt;0.0029472687459312303;0.03496107572540694;0.1315214945738148;0.38575613337981857;0.13879649310624287
Sascha Lobo;0.032254246315914066;0.06213729653220099;0.1490875191039547;0.3066355406359377;0.13752865064700187
Hazel Brugger;0.08208557732141801;0.1510261854210899;0.16865941020981096;0.13028787824322255;0.13301476279888536
Regula Stämpfli;0.003651535775581464;0.0118895966029724;0.05;0.46152803310889345;0.13176729137186183
Günther Jauch;0.26259099248387285;0.12852087756546354;0.13080507498762858;0.0;0.13047923625924124
Peter Sloterdijk;0.11996212345386754;0.21075725406935597;0.17071269024381056;0.006935912991499805;0.12709199518963346
Luisa Neubauer;0.14185950168668995;0.037650389242745934;0.15905480547599826;0.16607653370894085;0.12616030752859375
Milo Rau;0.06196366218855418;0.26737438075017694;0.17491413999784713;0.0;0.12606304573414456
Jörg Scheller;0.04953542048884417;0.12130219391365889;0.1599769575235423;0.17235433505670564;0.12579222674568774
Richard David Precht;0.22057169911818666;0.10828025477707007;0.17096104115810407;0.0;0.1249532487633402
Peter Spork;0.0037817364029117595;0.03581033262561925;0.17177478025642615;0.27837252926222283;0.12243484463679499
Frank Thelen;0.1211457655205066;0.06921443736730361;0.17994745800907175;0.11937562376412593;0.12242082116525196
Pinar Atalay;0.24720364561756525;0.015428167020523709;0.16950311458738274;0.04647554316052131;0.11965261759649824
Kathrin Passig;0.006273302953186956;0.0751592356687898;0.1599580992435478;0.2052924367332481;0.11167076864969316
Axel Honneth;0.13298218618689708;0.13517338995046002;0.16954517111050765;0.0;0.10942518681196618
Herta Müller;0.09333017695448896;0.16447275300778486;0.17045181273873128;0.0;0.10706368567525128
Alice Schwarzer;0.07794283008818133;0.17551309271054494;0.15430917097591015;0.0029954668325967346;0.10269014015180829
Markus Gabriel;0.04397230277564065;0.20339702760084927;0.16248900361855909;0.0;0.10246458349876225
Sophie Passmann;0.046162040598922885;0.09823071479122435;0.15559601901346837;0.10307659036103134;0.10076634119116173
Clemens Fuest;0.06018819908859561;0.043170559094125975;0.16599702359561497;0.1250209072572443;0.0985941722588952
Mario Botta;0.15428774338639994;0.04331210191082802;0.18473543609447576;0.0;0.09558382034792592
Isabella Eckerle;0.01515061845297982;0.009766454352441613;0.172154813869165;0.18388564036985708;0.09523938176111088
Mario Adorf;0.09747292418772563;0.1251238499646143;0.15610113610805915;0.0;0.09467447756509977
Knackeboul;0.010948689116411198;0.06284501061571125;0.15976440042576198;0.1339858354968267;0.09188598391367778
Güzin Kar;0.021719831922826536;0.038924274593064405;0.17532097138503402;0.10719302773389909;0.08578952640870602
Hans-Werner Sinn;0.04704977214890217;0.09596602972399151;0.17732441035371088;0.01479856596733927;0.08378469454848596
Philipp Sarasin;0.012309877493046103;0.04104741684359519;0.1659562232905441;0.10904306998576686;0.08208914690323807
Lukas Bärfuss;0.023672841332780966;0.14508138711960367;0.15862331367880167;0.0;0.08184438553279658
Christoph Keller;0.0329644315558975;0.11380042462845011;0.1681568542494924;0.004267523471221659;0.07979730847626541
Tommy Vercetti;0.11641119725395041;0.007360226468506723;0.18410571767090145;0.0016796632279197407;0.07738920115531958
Miriam Meckel;0.01053441439308753;0.02335456475583864;0.1829754023805125;0.07964885125656272;0.07412830819650035
Sophie Hunger;0.09037107178789135;0.0627034677990092;0.125;0.016784989930554193;0.07371488237936369
Daniel Ryser;0.0003728472509913002;0.009907997169143666;0.10586543216932025;0.178533250864015;0.07366988186336755
Deniz Utlu;0.0047759957388885605;0.08506723283793348;0.18819374388453428;0.014526114539415484;0.07314077175019296
Jean Ziegler;0.05178434041545837;0.08308563340410474;0.1575302645744331;0.0;0.07310005959849905
Aaron Troschke;0.012428241699710008;0.10120311394196745;0.15860232526704263;0.006805926183313118;0.0697599017730083
Melanie Brinkmann;0.05018642362549565;0.013446567586694975;0.14872226529402577;0.06591514960242176;0.06956760152715954
Michael Roes;0.0038290820855773214;0.06850672328379334;0.2;0.0;0.06808395134234267
Thomas Hürlimann;0.009114043913120672;0.08846426043878274;0.16945445838277667;0.0;0.06675819068367002
Martin Meyer;0.08800378765461324;0.011748053786270347;0.16648757234433872;0.0;0.06655985344630558
Pedro Lenz;0.02491566550275197;0.0683651804670913;0.16954302369441598;0.0;0.06570596741606481
Barbara Bleisch;0.01124459963307096;0.06086341118188252;0.16354658365879424;0.020496665434874346;0.06403781497715551
Rolf Dobelli;0.06788187252174942;0.014154281670205236;0.17224356246577938;0.0;0.0635699291644335
Franco Ambrosetti;0.016097532106291057;0.05732484076433121;0.17673205080756887;0.0;0.06253860591954778
Jonas Lüscher;0.008226312363141386;0.06822363765038925;0.17347901725674783;0.0;0.06248224181756962
Oliver Welke;0.07320826182162514;0.04854918612880396;0.12790744696480588;0.0;0.06241622372880874
Peter Bichsel;0.014973072142983962;0.06652512384996462;0.16644926674379928;0.0;0.061986865684186966
Heike Behrend;0.011126235426407054;0.06638358103326256;0.1635213633723318;0.0;0.060257794958000356
Adolf Muschg;0.02302183819612949;0.049398443029016276;0.16728985609187003;0.0;0.05992753432925395
Patti Basler;0.010179321773095816;0.006086341118188252;0.14547722557505166;0.0766899757326085;0.059608216049736054
Jessica Jurassica;0.00881813339646091;0.0;0.16187295354420594;0.06404644259519124;0.05868438238396452
Petra Volpe;0.007634491329821862;0.06355272469922152;0.15616441400296896;0.004452693505994708;0.05795108088450176
Norbert Gstrein;0.021897378232822395;0.045859872611464965;0.1598556516887079;0.0;0.056903225633248816
Chris von Rohr;0.022666745576137775;0.031422505307855626;0.17163232580845983;0.0;0.05643039417311331
Dieter Meier;0.019648458306208202;0.028308563340410473;0.1751628776691903;0.0021684915136319016;0.05632209770736023
Jürg Halter;0.008463040776469196;0.03722576079263978;0.16087776311929433;0.016575819560003945;0.05578559606210181
Peach Weber;0.02254838136947387;0.03198867657466384;0.1651019455734393;0.0021844644884132184;0.05545586700149756
Michael Zürn;0.0016452624726282772;0.03949044585987261;0.18024355710842926;0.0;0.055344816360232536
Steff la Cheffe;0.010001775463099959;0.03906581740976645;0.17135678209757976;0.0;0.055106093742611544
Thomas Straumann;0.0025803397052731256;0.02689313517338995;0.18049867679474746;0.006586055517160275;0.0541395517976427
Bernhard Waldenfels;0.008167130259809434;0.045859872611464965;0.16219089023002067;0.0;0.05405447327532377
