,Name,Index
0,Adolf Muschg,0.83644928045935
1,Aleksanra Bachzetsis,0.0
2,Anna Rosenwasser,0.8317684763115789
3,Annemarie Piper,0.0
4,Aviel Cahn,0.7358578643762691
5,Barbara Bleisch,0.8177329182939712
6,Barbara Buser,0.0
7,Benedikt von Peter,0.0
8,Bice Curiger,0.9258024700750374
9,Boris Blank,0.8801934493427831
10,Charles Lewinski,0.25
11,Chris von Rohr,0.8581616290422992
12,Christian Jott Jenny,0.8297800944113513
13,Christoph Müller,0.8165431517374825
14,Claudia Honegger,0.0
15,Daniel Ryser,0.5293271608466013
16,David Bosshardt,0.0
17,Dieter Meier,0.8758143883459516
18,Dirk Helbing,0.6076794919243113
19,Eduard Käser,0.0
20,Elisabeth Bronfen,0.6671258565334371
21,Endo Anaconda,0.8891421356237309
22,Eva Presenhuber,1.0
23,Fanni Fetzer,0.9689148147845771
24,Franco Ambrosetti,0.8836602540378444
25,Frank und Patrik Riklin,0.9526851827409477
26,Franziska Schläpfer,0.0
27,Güzin Kar,0.8766048569251701
28,Hazel Brugger,0.8432970510490547
29,Jacqueline Burkhardt,0.0
30,Jaques Herzog,0.0
31,Jean Ziegler,0.7876513228721654
32,Jessica Jurassica,0.8093647677210297
33,Jonas Lüscher,0.8673950862837392
34,Jörg Scheller,0.7998847876177115
35,Jürg Halter,0.8043888155964717
36,Kathleen Bühler,1.0
37,Katja Früh,0.7392161000147851
38,Katja Gentinetta,0.88326375980955
39,Katja Rost,0.7331793044385867
40,Knackeboul,0.7988220021288099
41,Lara Stoll,0.0
42,Lena Lisa Wüsterdorf,0.0
43,Lorenz Häberli,0.0
44,Luc Oggier,0.0
45,Ludwig Hasler,0.8512092072632591
46,Lukas Bärfuss,0.7931165683940083
47,Madeleine Schuppli,1.0
48,Mai-Thu Perret,0.8667790982594514
49,Manon,0.8865278451459958
50,Manuel Stahlberger,0.796095023109729
51,Mario Botta,0.9236771804723787
52,Marko Kovic,0.7963369923205446
53,Martin Meyer,0.8324378617216937
54,Martin R. Dean,0.8016405219149308
55,Melinda Nadj Abonji,0.8330782188787857
56,Michael Haefliger,0.9351242283656583
57,Mickry 3,0.0
58,Milena Moser,0.8537011338904276
59,Milo Rau,0.8745706999892356
60,Miriam Cahn,0.8186299744424448
61,Miriam Meckel,0.9148770119025623
62,Oliver Bendel,0.5
63,Patricia Kopatchinskaja,0.8880548088081148
64,Patrick Rohr,0.7960707913262999
65,Patti Basler,0.7273861278752582
66,Peach Weber,0.8255097278671965
67,Pedro Lenz,0.8477151184720799
68,Peter Bichsel,0.8322463337189965
69,Peter Bieri,0.0
70,Peter Stamm,0.0
71,Peter von Matt,0.0
72,Petra Volpe,0.7808220700148448
73,Philip Ursprung,0.0
74,Philipp Sarasin,0.8297811164527205
75,Pippilotti Rist,0.0
76,Regula Stämpfli,0.25
77,Rolf Dobelli,0.861217812328897
78,Ruth Schweikert,0.9024933839737372
79,Silvie Fleury,0.0
80,Sophie Hunger,0.625
81,Steff la Cheffe,0.8567839104878988
82,Stephan Eicher,0.6591097514179294
83,Stress,0.0
84,Sybille Berg,1.0
85,Thomas Hürlimann,0.8472722919138834
86,Thomas Maissen,0.8306134493919795
87,Thomas Straumann,0.9024933839737372
88,Thomas Strässle,0.8392302494707576
89,Tom Fischer,0.8207915619758885
90,Tommy Vercetti,0.9205285883545071
91,Ueli Mäder,0.887747548783982
92,Ursula Hauser,0.0
93,Ursula Rodel,0.75
94,Zora del Buono,0.8221038415347656
