Name;GSR_score;Wikipedia_score;Sentiment_score;Twitter_score;Thoughtleader_Score
Sibylle Berg;0.29689298043728424;1.0;1.0;0.305771770779926;0.6506661878043025
Mario Botta;1.0;0.33962264150943394;0.9236771804723788;0.0;0.5658249554954532
Hazel Brugger;0.5320291522823168;0.43507214206437295;0.8432970510490547;0.28212181116690216;0.5231300391406617
Milo Rau;0.4016110471806674;0.7480577136514983;0.8745706999892356;0.0;0.5060598652053504
Tommy Vercetti;0.7545070962792482;0.05771365149833518;0.9205285883545072;0.0035137898073972023;0.43406578148487196
Jean Ziegler;0.33563482930571537;0.5027746947835738;0.7876513228721654;0.0;0.40651521174036365
Sophie Hunger;0.5857307249712314;0.341842397336293;0.625;0.03611970920460485;0.3971732078780323
Martin Meyer;0.5703874184886844;0.09211986681465038;0.8324378617216937;0.0;0.3737362867562571
Lukas Bärfuss;0.1534330648254699;0.537180910099889;0.7931165683940083;0.0;0.3709326358298418
Jörg Scheller;0.32105868814729577;0.3518312985571587;0.7998847876177115;0.0;0.3681936935805415
Rolf Dobelli;0.43996931338703493;0.11098779134295228;0.861217812328897;8,64E+10;0.35306533263063333
Güzin Kar;0.14077483697736862;0.15538290788013318;0.8766048569251701;0.23206697852804886;0.3512073950776802
Adolf Muschg;0.14921365554276947;0.3873473917869034;0.83644928045935;0.0;0.3432525819472557
Regula Stämpfli;0.02366705024932873;0.0932297447280799;0.25;1.0;0.34172419874435217
Knackeboul;0.07096279248177982;0.19311875693673697;0.7988220021288099;0.29011516872892196;0.33825468006906223
Miriam Meckel;0.0682777138473341;0.18312985571587126;0.9148770119025624;0.17235605250144762;0.33466015849180386
Thomas Hürlimann;0.05907172995780591;0.3940066592674806;0.8472722919138834;0.0;0.32508767028479246
Peter Bichsel;0.0970464135021097;0.3706992230854606;0.8322463337189965;0.0;0.3249979925766417
Franco Ambrosetti;0.10433448408131953;0.29966703662597116;0.8836602540378444;0.0;0.3219154436862838
Chris von Rohr;0.14691215957038742;0.24639289678135406;0.8581616290422992;0.0;0.3128666713485102
Pedro Lenz;0.16148830072880707;0.23640399556048836;0.8477151184720799;0.0;0.31140185369034384
Stephan Eicher;0.33563482930571537;0.24750277469478357;0.6591097514179294;0.0;0.3105618388546071
Dieter Meier;0.12734944380514002;0.22197558268590456;0.8758143883459516;0.004353073866698832;0.3073731221759238
Jonas Lüscher;0.05331799002685079;0.23529411764705882;0.8673950862837392;0.0;0.2890017984894122
Thomas Straumann;0.016724204065976217;0.21087680355160932;0.9024933839737372;0.014042944275858508;0.28603433396679534
Miriam Cahn;0.16033755274261605;0.13984461709211987;0.8186299744424448;0.0;0.27970303606929514
Bice Curiger;0.033908707326428845;0.12874583795782463;0.9258024700750374;0.0;0.2721142538398227
Barbara Bleisch;0.0728807057920982;0.17758046614872364;0.8177329182939712;0.012678050761784387;0.27021803524914434
Eva Presenhuber;0.07863444572305332;0.0022197558268590455;1.0;0.0;0.2702135503874781
Philipp Sarasin;0.07978519370924435;0.16870144284128746;0.8297811164527205;0.0;0.26956693825081307
Steff la Cheffe;0.06482546988876103;0.1564927857935627;0.8567839104878988;0.0;0.26952554154255565
Peach Weber;0.14614499424626007;0.10099889012208657;0.8255097278671965;0.004614042209906284;0.26931691361136234
Frank und Patrik Riklin;0.046413502109704644;0.049944506104328525;0.9526851827409476;0.02496316415392068;0.2685015887772254
Fanni Fetzer;0.01802838511699271;0.07214206437291898;0.9689148147845772;0.0;0.2647713160686222
Madeleine Schuppli;0.009973149213655544;0.048834628190899;1.0;0.0;0.26470194435113864
Boris Blank;0.13425393172228614;0.04328523862375139;0.8801934493427831;0.0;0.26443315492220515
Thomas Maissen;0.02504794783275796;0.19644839067702552;0.8306134493919795;0.0;0.2630274469754407
Petra Volpe;0.04948216340621404;0.19644839067702552;0.7808220700148448;0.009387504261315974;0.2590350320898501
Michael Haefliger;0.014269275028768699;0.03995560488346282;0.9351242283656584;0.04355983937999766;0.2582272369144719
Ruth Schweikert;0.023321825853471423;0.10210876803551609;0.9024933839737372;0.0;0.2569809944656812
Kathleen Bühler;0.014499424626006905;0.0;1.0;0.0;0.2536248561565017
Endo Anaconda;0.04449558879938627;0.07769145394006659;0.8891421356237309;0.0;0.2528322945907959
Melinda Nadj Abonji;0.04526275412351362;0.1309655937846837;0.8330782188787857;0.0;0.2523266416967458
Patti Basler;0.06597621787495206;0.04772475027746948;0.7273861278752582;0.16592552329650007;0.25175315483104493
