Name;Index
Aaron Troschke;0.7930116263352132
Alice Schwarzer;0.7715458548795507
Aline Wanner;0.8049311517612906
Andreas Veiel;0.0
Anne Siemens;0.5
Anne Will;0.6340790392160207
Annika Brockschmidt;0.657607472869074
Axel Honneth;0.8477258555525382
Benedikt XVI;0.8070126480120665
Bernhard Waldenfels;0.8109544511501033
Carina Kontio;0.8529411764705882
Christian Drosten;0.7710844360682696
Christian Walther;0.8192992409742811
Christoph Keller;0.8407842712474619
Clemens Fuest;0.8299851179780748
Deniz Utlu;0.9409687194226714
Hans-Werner Sinn;0.8866220517685545
Heike Behrend;0.817606816861659
Herta Müller;0.8522590636936564
Isabella Eckerle;0.860774069345825
Kai Diekmann;0.8542590579325534
Karl Lauterbach;0.7702209724999369
Kathrin Passig;0.7997904962177391
Klaas Heufer-Umlauf;0.7818846571866651
Lena-Sophie Müller;1.0
Linus Schöpfer;0.8182193932724661
Luisa Neubauer;0.7952740273799913
Mai Thi Nguyen-Kim;0.7948814638420844
Maja Goepel;0.0
Malcolm Ohanwe;0.7860555127546399
Marietta Slomka;0.6036391455664305
Mario Adorf;0.7805056805402957
Markus Gabriel;0.8124450180927955
Melanie Brinkmann;0.7436113264701288
Michael Roes;1.0
Michael Zürn;0.9012177855421465
Peter Sloterdijk;0.8535634512190527
Peter Spork;0.8588739012821307
Philipp Hübl;0.0
Pinar Atalay;0.8475155729369137
