,Name,Wikipedia,m/w,Bereich,GSR,id,Twitter Verifiziert?,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
10,Carina Kontio,0,0.0,0.0,313,enormgruen,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0016657577710574587,0.0,0.8529411764705882,0.0,0.21365173356041142,0
11,Christian Drosten,Christian Drosten,0.0,0.0,93500,c_drosten,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,761918.0,8.419354838709678,39.83870967741935,-0.12096774193548387,0.3958038703431318,0.24664046493593325,8.234655732323233,1.107575768774206,6.856253559027778,1.3242394179105759,9.194431435899668,1.4074074074074074,Christian Drosten,206.0,134.0,0.0,9.0,0.10625267055974932,0.9256358137920777,0.10625267055974932,0.7710844360682696,0.41055520046958793,0.5533820302224212,1
12,Christian Walther,Christian Walther (Journalist),0.0,0.0,1780,ChristianWalth2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Christian Walther (Journalist),8.0,36.0,0.0,0.0,0.0,0.016211392593327052,0.0,0.8192992409742811,0.0023119623058113323,0.20945564896835486,0
13,Christoph Keller,Christoph Keller (Schriftsteller),0.0,0.0,5600,christophbk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,278.0,6.723404255319149,23.180851063829788,0.0,0.5596304161771052,0.23862611631444394,12.068671971326166,1.2150537660045009,3.971731770833333,1.0546875,9.059540728382443,1.9069767441860466,Christoph Keller (Schriftsteller),25.0,39.0,0.0,4.0,0.031334567725395245,0.054087551435228795,0.031334567725395245,0.8407842712474619,0.0023002834972802736,0.23212666847634156,0
14,Clemens Fuest,Clemens Fuest,0.0,0.0,10200,FuestClemens,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clemens Fuest,58.0,61.0,0.0,1.0,0.01780373166215639,0.09969758564275445,0.01780373166215639,0.8299851179780748,0.02367950861219182,0.24279148597379438,0
15,Deniz Utlu,Deniz Utlu,0.0,0.0,837,DenizUtlu,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deniz Utlu,23.0,23.0,2.0,1.0,0.02164933770118217,0.0068613355807842944,0.02164933770118217,0.9409687194226714,0.0033451098163367085,0.24320612563024363,0
16,Hans-Werner Sinn,Hans-Werner Sinn,0.0,0.0,7980,Hans-Werner Sinn,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hans-Werner Sinn,290.0,203.0,0.0,1.0,0.0710724967953283,0.07768578652520947,0.0710724967953283,0.8866220517685545,0.0,0.25884508377227305,0
17,Heike Behrend,Heike Behrend,0.0,0.0,1910,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heike Behrend,32.0,67.0,0.0,2.0,0.02207662726107392,0.01750037182093104,0.02207662726107392,0.817606816861659,0.0,0.214295953985916,0
18,Herta Müller,Herta Müller,0.0,0.0,15800,hertamueller,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herta Müller,543.0,433.0,1.0,0.0,0.13986611593790058,0.15522284467800307,0.13986611593790058,0.8522590636936564,0.0,0.28683700607739004,0
19,Isabella Eckerle,Isabella Eckerle,0.0,0.0,2590,EckerleIsabella,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Isabella Eckerle,15.0,54.0,0.0,0.0,0.0035607463324312774,0.024242724703782657,0.0035607463324312774,0.860774069345825,0.03694066941624061,0.2313795524495699,0
20,Kai Diekmann,Kai Diekmann,0.0,0.0,3640,KaiDiekmann,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kai Diekmann,216.0,154.0,0.0,0.0,0.04643213217490386,0.034653710772891776,0.04643213217490386,0.8542590579325534,0.0,0.23383622522008726,0
21,Karl Lauterbach,Karl Lauterbach,0.0,0.0,77400,Karl_Lauterbach,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl Lauterbach,211.0,121.0,0.0,5.0,0.0766272610739211,0.7660006940657379,0.0766272610739211,0.7702209724999369,1.458379313030167e-05,0.4032158778581815,1
22,Kathrin Passig,Kathrin Passig,0.0,0.0,1090,kathrinpassig,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kathrin Passig,105.0,56.0,0.0,2.0,0.03090727816550349,0.009369887462198205,0.03090727816550349,0.7997904962177391,0.0,0.2100169154613602,0
23,Klaas Heufer-Umlauf,Klaas Heufer-Umlauf,0.0,0.0,17400,damitdasklaas,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1857323.0,11.55,105.34166666666665,-0.002,0.4559524370016567,0.22052613230954324,12.751333708333332,1.311875009536743,14.260475750000003,1.3191666662693025,9.313734460671743,2.0,Klaas Heufer-Umlauf,218.0,218.0,2.0,0.0,0.07007548782224754,0.17108720440235983,0.07007548782224754,0.7818846571866651,1.0,0.5057618373528181,1
24,Lena-Sophie Müller,0,0.0,0.0,404,LSMueller,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.002568043230380249,0.0,1.0,0.0,0.2506420108075951,0
25,Linus Schöpfer,0,0.0,0.0,381,L_Schoepfer,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0023399930593426205,0.0,0.8182193932724661,0.0,0.20513984658295217,0
26,Luisa Neubauer,Luisa Neubauer,0.0,0.0,24000,Luisamneubauer,ja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luisa Neubauer,100.0,162.0,0.0,0.0,0.03104970801880074,0.2365276882653314,0.03104970801880074,0.7952740273799913,1.5278259469839852e-05,0.26571667548089833,0
